Prob No   Problem Name   Diff   Algorithm
272   TEX Quotes   0.5   Ad Hoc
458   The Decoder   0.5   Ad Hoc
10071   Back to High School Physics   0.5   Math (Physics)
10300   Ecological Premium   0.5   Ad Hoc
10302   Summation of Polynomials   0.5   Math
2362   Financial Management   0.5   Ad Hoc
3077   No Brainer   0.5   Ad Hoc, bonus question
299   Train Swapping   1   Sorting
10023   Square root   1   Ad Hoc
10696   f91   1   Ad Hoc
10783   Odd Sum   1   Math
3055   Speed Limit   1   Ad Hoc
11547   Automatic Answer   1   Ad Hoc, Math
11577   Letter Frequency   1   Ad Hoc
11172   Relational Operator   1   Ad Hoc
11044   Searching for Nessy   1   Math
146   ID Codes   1.5   Ad Hoc
499   What's The Frequency, Kenneth?   1.5   Ad Hoc
541   Error Correction   1.5   Ad Hoc
591   Box of Bricks   1.5   Ad Hoc
10286   Trouble with a Pentagon   1.5   Math (Trigonometry)
10327   Flip Sort   1.5   Sorting (Bubble Sort)
10370   Above Average   1.5   Math
10656   Maximum Sum (II)   1.5   Ad Hoc
11496   Musical Loop   1.5   Ad Hoc, Array Processing
11498   Division of Nlogonia   1.5   Ad Hoc
11192   Group Reverse   1.5   String Processing
113   Power of Cryptography   2   Math
445   Marvelous Mazes   2   Ad Hoc
484   The Department of Redundancy Department   2   Ad Hoc, use BST
488   Triangle Wave   2   Ad Hoc
494   Kindergarten Counting Game   2   Ad Hoc
10008   What's Cryptanalysis?    2   Ad Hoc
10469   To Carry or not to Carry   2   Math
10784   Diagonal   2   Math
10916   Factstone Benchmark   2   Ad Hoc, Mathematics
2052   Number Steps   2   Ad Hoc
2731   Wacmian Numbers   2   Math (Base Number)
3003   Jelly   2   Ad Hoc
3055   Symmetric Order   2   Ad Hoc
11541   Decoding   2   String Processing
11461   Square Numbers   2   Ad Hoc, Math
11185   Ternary   2   Math
100   The 3n + 1 Problem   2.5   Ad Hoc
102   Ecological Bin Packing   2.5   Ad Hoc, Complete Search
256   Quirksome Squares   2.5   Math
382   Perfection   2.5   Math
10018   Reverse and Add   2.5   Math
10035   Primary Arithmetic   2.5   Math
10038   Jolly Jumpers   2.5   Ad Hoc
10062   Tell me the frequencies!   2.5   Ad Hoc
10077   The Stern-Brocot Number System   2.5   Binary Search
10223   How many nodes ?   2.5   Math
10297   Beavergnaw   2.5   Math
10346   Peter's Smoke   2.5   Math
10361   Automatic Poetry   2.5   String Processing
10420   List of Conquests   2.5   Ad Hoc
10420   List of Conquests   2.5   Ad Hoc
10432   Polygon Inside A Circle   2.5   Math (Geometry)
10499   The Land of Justice   2.5   Math
10703   Free spots   2.5   Ad Hoc
10812   Beat the Spread!   2.5   Math
10924   Prime Words   2.5   Math, Prime Numbers
2247   Prime Digital Root   2.5   Ad Hoc
3056   Flow Layout   2.5   Ad Hoc
11530   SMS Typing   2.5   String Processing
10055   Hashmat the Brave Warrior   3   Math
